epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.7186,1.43546,2.01525,1.2786,0.62428,0.47311,0.48878,0.30333,1.39847,1.71326,1.29959,0.000415739,0.000415739,0.000415739
2,120.958,1.34448,1.47964,1.21475,0.51306,0.41766,0.4745,0.27833,1.39747,1.713,1.33931,0.000815924,0.000815924,0.000815924
3,169.553,1.33361,1.39532,1.21309,0.59854,0.47536,0.51327,0.33344,1.35964,1.34894,1.30139,0.00119961,0.00119961,0.00119961
4,216.519,1.29294,1.28601,1.1969,0.76175,0.54745,0.63021,0.41752,1.35215,1.26658,1.28344,0.00117575,0.00117575,0.00117575
5,264.459,1.2879,1.24574,1.19657,0.57134,0.47301,0.51359,0.31074,1.35208,1.38479,1.33602,0.001151,0.001151,0.001151
6,315.233,1.24798,1.19098,1.17245,0.69239,0.62575,0.65155,0.43695,1.28272,1.22223,1.23509,0.00112625,0.00112625,0.00112625
7,365.883,1.21114,1.12227,1.15342,0.74094,0.54743,0.64311,0.44557,1.22564,1.15593,1.2069,0.0011015,0.0011015,0.0011015
8,417.07,1.20072,1.0972,1.14276,0.6275,0.58115,0.62142,0.41713,1.22641,1.10815,1.20422,0.00107675,0.00107675,0.00107675
9,469.032,1.18682,1.07303,1.1407,0.62661,0.61434,0.61051,0.41345,1.22103,1.07181,1.18265,0.001052,0.001052,0.001052
10,519.586,1.17138,1.04233,1.12934,0.68546,0.61344,0.66008,0.45181,1.20443,1.07271,1.16956,0.00102725,0.00102725,0.00102725
11,572.02,1.15697,1.01798,1.12516,0.65775,0.62949,0.67558,0.47198,1.18059,0.99277,1.17836,0.0010025,0.0010025,0.0010025
12,627.994,1.13589,0.99734,1.1132,0.66998,0.63215,0.66161,0.46257,1.15177,1.01199,1.13158,0.00097775,0.00097775,0.00097775
13,686.376,1.14201,0.99965,1.11579,0.79581,0.63301,0.73386,0.5291,1.15233,0.94559,1.16673,0.000953,0.000953,0.000953
14,740.309,1.11574,0.96838,1.10797,0.72386,0.68164,0.72146,0.5253,1.12916,0.9587,1.13694,0.00092825,0.00092825,0.00092825
15,793.112,1.09802,0.95218,1.09809,0.74843,0.66505,0.7292,0.50866,1.13131,0.97955,1.12817,0.0009035,0.0009035,0.0009035
16,845.37,1.09866,0.93839,1.09862,0.77772,0.68788,0.75047,0.52703,1.1165,0.99111,1.13076,0.00087875,0.00087875,0.00087875
17,897.106,1.09971,0.94491,1.09905,0.70562,0.688,0.71082,0.51794,1.10163,0.91878,1.10752,0.000854,0.000854,0.000854
18,948.214,1.08396,0.92083,1.09075,0.81108,0.73072,0.77083,0.57127,1.08928,0.9425,1.10403,0.00082925,0.00082925,0.00082925
19,997.338,1.07159,0.90295,1.08279,0.75583,0.69852,0.73409,0.534,1.10214,0.93327,1.10832,0.0008045,0.0008045,0.0008045
20,1055.03,1.0707,0.9065,1.09063,0.77085,0.68772,0.74074,0.53593,1.10592,0.9177,1.11506,0.00077975,0.00077975,0.00077975
21,1106.59,1.05879,0.88504,1.07298,0.81228,0.69237,0.76477,0.57253,1.07039,0.90948,1.10488,0.000755,0.000755,0.000755
22,1158.15,1.04146,0.87778,1.0715,0.77729,0.66578,0.76692,0.575,1.06981,0.87738,1.0938,0.00073025,0.00073025,0.00073025
23,1213.03,1.04297,0.87046,1.07249,0.81277,0.65138,0.7548,0.55981,1.06752,0.89486,1.10295,0.0007055,0.0007055,0.0007055
24,1264.95,1.04581,0.87497,1.07745,0.76535,0.72695,0.76582,0.56638,1.05594,0.87491,1.10256,0.00068075,0.00068075,0.00068075
25,1317.06,1.02539,0.84204,1.06072,0.7912,0.74234,0.78999,0.58522,1.05012,0.84958,1.09045,0.000656,0.000656,0.000656
26,1371.18,1.00608,0.81794,1.05371,0.73598,0.71369,0.72842,0.53356,1.05,0.88193,1.10017,0.00063125,0.00063125,0.00063125
27,1422.94,1.01573,0.84533,1.06536,0.80061,0.73152,0.78516,0.59121,1.03754,0.84711,1.08901,0.0006065,0.0006065,0.0006065
